T,x,p,s,X,P,S,t
SPY, 2, 371.88, 2, 17, 371.89, 1, 1608230454402000000
SPY, 2, 371.88, 4, 17, 371.89, 1, 1608230454402000000
SPY, 17, 371.88, 4, 17, 371.89, 1, 1608230454653000000
SPY, 15, 371.88, 1, 17, 371.89, 1, 1608230453375000000
SPY, 2, 371.88, 2, 17, 371.89, 1, 1608230454708000000
SPY, 15, 371.88, 1, 17, 371.89, 1, 1608230453375000000
SPY, 17, 371.88, 4, 17, 371.89, 1, 1608230454653000000
SPY, 15, 371.88, 1, 17, 371.89, 1, 1608230453375000000
SPY, 17, 371.88, 4, 17, 371.89, 1, 1608230454653000000
SPY, 15, 371.88, 1, 17, 371.89, 1, 1608230453375000000
SPY, 17, 371.88, 4, 17, 371.89, 1, 1608230454653000000
SPY, 15, 371.88, 1, 17, 371.89, 1, 1608230453375000000
SPY, 17, 371.88, 3, 17, 371.89, 1, 1608230455727000000
SPY, 15, 371.88, 1, 17, 371.89, 1, 1608230453375000000
SPY, 17, 371.88, 3, 17, 371.89, 1, 1608230455727000000
SPY, 15, 371.88, 1, 17, 371.89, 1, 1608230453375000000
SPY, 2, 371.88, 4, 17, 371.89, 1, 1608230455903000000
SPY, 15, 371.88, 1, 17, 371.89, 1, 1608230453375000000
SPY, 2, 371.88, 2, 17, 371.89, 1, 1608230455917000000
SPY, 17, 371.88, 4, 17, 371.89, 1, 1608230455903000000
SPY, 17, 371.88, 3, 17, 371.89, 1, 1608230456050000000
SPY, 17, 371.88, 4, 17, 371.89, 1, 1608230456439000000
SPY, 17, 371.88, 3, 17, 371.89, 1, 1608230456557000000
SPY, 17, 371.88, 2, 17, 371.89, 1, 1608230457055000000
SPY, 15, 371.88, 1, 17, 371.89, 1, 1608230453375000000
SPY, 2, 371.88, 1, 17, 371.89, 1, 1608230457119000000
SPY, 17, 371.88, 3, 17, 371.89, 1, 1608230457067000000
SPY, 15, 371.88, 1, 17, 371.89, 1, 1608230453375000000
SPY, 17, 371.88, 3, 17, 371.89, 1, 1608230457067000000
SPY, 2, 371.88, 2, 17, 371.89, 1, 1608230457120000000
SPY, 15, 371.88, 1, 17, 371.89, 1, 1608230453375000000
SPY, 17, 371.88, 3, 17, 371.89, 1, 1608230457067000000
SPY, 2, 371.88, 4, 17, 371.89, 1, 1608230457120000000
SPY, 17, 371.88, 3, 17, 371.89, 1, 1608230457067000000
SPY, 2, 371.88, 4, 17, 371.89, 1, 1608230457120000000
SPY, 15, 371.88, 1, 17, 371.89, 1, 1608230457166000000
SPY, 17, 371.88, 3, 17, 371.89, 1, 1608230457067000000
SPY, 15, 371.88, 1, 17, 371.89, 1, 1608230457166000000
SPY, 2, 371.88, 4, 17, 371.89, 1, 1608230457658000000
SPY, 15, 371.88, 1, 17, 371.89, 1, 1608230457166000000
SPY, 2, 371.88, 2, 17, 371.89, 1, 1608230457656000000
SPY, 2, 371.88, 4, 17, 371.89, 1, 1608230457659000000
SPY, 15, 371.88, 1, 17, 371.89, 1, 1608230457166000000
SPY, 2, 371.88, 3, 17, 371.89, 1, 1608230458009000000
SPY, 15, 371.88, 1, 17, 371.89, 1, 1608230457166000000
SPY, 17, 371.88, 4, 17, 371.9, 1, 1608230458233000000
SPY, 15, 371.88, 1, 17, 371.9, 1, 1608230457166000000
SPY, 2, 371.88, 4, 17, 371.9, 1, 1608230458233000000
SPY, 15, 371.88, 1, 17, 371.9, 1, 1608230457166000000
SPY, 17, 371.89, 1, 17, 371.9, 1, 1608230458233000000
SPY, 17, 371.89, 1, 2, 371.91, 5, 1608230458233000000
SPY, 17, 371.89, 1, 3, 371.91, 10, 1608230458233000000
SPY, 17, 371.89, 1, 2, 371.91, 5, 1608230458233000000
